student_id,gender,study_hours_per_day,social_media_hours,part_time_job,attendance_percentage,sleep_hours,mental_health_rating,exam_score
S1000,Female,0,1.2,No,85,8,8,56.2
S1001,Female,6.9,2.8,No,97.3,4.6,8,100
S1002,Male,1.4,3.1,No,94.8,8,1,34.3
S1003,Female,1,3.9,No,71,9.2,1,26.8
S1004,Female,5,4.4,No,90.9,4.9,1,66.4
S1005,Male,7.2,1.3,No,82.9,7.4,4,100
S1006,Female,5.6,1.5,Yes,85.8,6.5,4,89.8
S1007,Female,4.3,1,Yes,77.7,4.6,8,72.6
S1008,Female,4.4,2.2,No,100,7.1,1,78.9
S1009,Female,4.8,3.1,No,95.4,7.5,10,100
S1010,Female,4.6,3.7,No,77.6,5.8,3,63.3
S1011,Male,3.9,2.4,No,71.7,7.9,1,74.4
S1012,Female,3.7,2.1,Yes,81.1,4.5,9,76.9
S1013,Female,3.4,2.7,No,89.3,4.7,10,75.8
S1014,Male,2.4,1.5,No,87.4,6.7,9,78.9
S1015,Male,3.1,5,No,97.5,6.5,7,74
S1016,Male,1,0.6,No,92.9,5.6,8,55.2
S1017,Female,3.4,2.7,No,94.7,7.5,1,70.8
S1018,Other,2,4.9,Yes,88.3,7.1,5,43.9
S1019,Male,1.8,2.5,No,71.1,7.5,2,45.3
S1020,Female,3.8,2.3,No,83,6.4,1,58.5
S1021,Male,5.6,2.1,No,95.6,7.2,3,82.5
S1022,Other,4.9,2.3,No,84.5,6,7,98.7
S1023,Female,1.1,4.1,Yes,90,9,1,43.7
S1024,Female,2,0,Yes,81.8,5.5,2,54.9
S1025,Male,4.9,4.3,No,74.7,9,2,69.9
S1026,Male,2,0.8,No,83.8,6.5,4,73.5
S1027,Male,3.2,2.2,Yes,88.1,4.8,3,71.1
S1028,Male,4.3,2,Yes,78.4,8.1,3,82.8
S1029,Female,2,3.2,Yes,82.6,6.7,10,75.7
S1030,Female,3.7,0.6,No,75.6,7.5,5,70.6
S1031,Other,1.5,3.1,Yes,96.2,8,3,51.3
S1032,Other,2.6,4.9,No,82.1,6.9,7,52.1
S1033,Female,4,0.9,No,99.5,5.8,5,70.7
S1034,Female,1.1,2.7,No,100,7.7,4,51.2
S1035,Female,4.2,1.7,Yes,84.2,6.5,3,72.6
S1036,Female,3.5,3,No,74.9,7.3,4,70.7
S1037,Male,4.3,2.5,Yes,64.1,3.9,2,59.4
S1038,Male,3.8,1.7,No,70.3,7,1,58.1
S1039,Male,5.5,3.1,No,71.3,5.7,3,82.3
S1040,Female,3.7,4.7,No,98.8,8.5,2,69.7
S1041,Female,2.9,2.3,No,86.2,7.2,1,66
S1042,Male,3.7,3.4,No,88.9,6.8,1,63.5
S1043,Female,4.3,0.9,No,62.8,7.1,2,65.7
S1044,Female,3.6,1.4,No,73,5.3,9,78.5
S1045,Male,3.6,3.1,No,93.9,8.4,5,75.1
S1046,Male,2.4,4.3,No,87.9,8.9,9,71
S1047,Female,2.5,2.9,No,83.5,7,8,59.7
S1048,Female,1.4,2.1,No,90.6,8.4,6,52.6
S1049,Female,6.1,2.5,No,100,5.8,1,96.5
S1050,Female,1.6,1,No,82.8,5.5,10,62
S1051,Female,2.5,3.2,No,85.7,6.5,5,59.7
S1052,Female,2.4,3.6,No,86.9,7,1,48.4
S1053,Female,4.8,2,No,100,6,7,70.6
S1054,Female,3.1,1.9,Yes,64,7.1,10,68.1
S1055,Male,5.4,2.8,No,91.8,6.9,8,87.2
S1056,Male,2.5,2,No,83.9,5.3,8,66.7
S1057,Male,3.9,2.4,No,90.7,7.1,7,75.2
S1058,Female,2.2,5,No,78.4,7.5,2,46.4
S1059,Female,6.7,2.2,No,84.5,6.7,5,97.1
S1060,Female,1.7,2.1,Yes,92.1,7.9,4,61.2
S1061,Male,4,1.7,No,100,5,5,75
S1062,Male,4.5,3.4,Yes,93.1,7.1,10,94.7
S1063,Male,4.1,2.3,Yes,76.5,5.1,9,77.6
S1064,Male,3.2,1.7,No,80.8,5.2,4,68.6
S1065,Female,3.3,4.1,No,80.5,5.7,8,69.6
S1066,Male,3.6,4.2,No,67,5.4,8,66.5
S1067,Male,3.3,1.8,No,81.7,5.8,2,62.2
S1068,Female,4.9,0.3,Yes,92.3,6.2,6,82.1
S1069,Male,6.8,3.7,No,72.3,7.5,5,100
S1070,Female,2.7,1.7,No,95.5,6.1,2,59.7
S1071,Female,1.4,3.4,No,89.9,4.6,10,55.1
S1072,Male,3.4,0.1,No,77.7,7.9,4,77.1
S1073,Female,7.4,3.6,No,83.6,5.5,7,97.7
S1074,Female,2.3,1,No,100,6.4,1,66.9
S1075,Female,6,3.4,Yes,92.3,7,9,99.9
S1076,Male,6,2.5,No,85.1,6.7,10,100
S1077,Female,2.7,1.4,No,82.6,7.8,1,57.2
S1078,Female,4.4,2,Yes,85.8,7.1,5,77.3
S1079,Male,5.9,3.3,Yes,79.9,5.5,7,91.6
S1080,Male,2.9,2.6,No,64,9.1,8,70.7
S1081,Other,3.2,3.2,No,100,6.7,2,57.6
S1082,Female,2.6,4.9,Yes,86.6,6.3,4,60.2
S1083,Male,2,0.6,No,89,7.7,2,50.5
S1084,Female,2.5,4.4,No,84.4,6.8,4,51.3
S1085,Male,1.7,2.6,No,77.6,7,6,53.5
S1086,Male,3.6,1.4,No,83.1,9.5,6,79.2
S1087,Male,2.3,0.9,No,69,6.2,2,47.2
S1088,Male,3.9,2.3,No,100,6.1,4,73.4
S1089,Male,1.2,3.6,No,72.7,6.6,4,41.1
S1090,Male,4,2.3,No,74.7,7.8,1,77.8
S1091,Female,4.8,4.3,No,80.6,4.7,2,63.4
S1092,Male,0.5,0.8,Yes,97.9,4.1,3,43.9
S1093,Male,4.1,2.5,No,85.1,5.8,5,70.2
S1094,Female,5.3,1,No,72.6,4.5,8,81.3
S1095,Male,1.7,2.9,No,97.5,6,6,50.2
S1096,Female,6,3.6,No,92.3,7.1,3,87.9
S1097,Male,4.1,2,No,90.4,5.4,6,80.9
S1098,Male,2.4,0,No,92.2,4.8,7,63.9
S1099,Male,3.4,2.7,No,100,6.6,6,65.6
S1100,Male,4.3,3,No,100,7.5,10,93.2
S1101,Male,3.6,3,No,78.1,4.5,6,74
S1102,Male,4.3,4,No,100,7.5,1,60.8
S1103,Male,2.1,1.2,No,88.8,7.5,3,50.4
S1104,Male,3.8,3.3,No,90,7.6,7,74.3
S1105,Male,1.4,3.9,Yes,68.1,8,4,32.8
S1106,Male,3.3,0.4,No,83.3,9.1,4,82.3
S1107,Male,2.1,2.9,No,76.9,6.1,7,60.4
S1108,Female,2.4,1.9,No,93.3,6.6,9,60
S1109,Female,5.4,2.4,No,95.7,6,2,77.5
S1110,Male,5.1,2.9,No,64.3,6.5,9,86.5
S1111,Female,4.4,1.9,No,84.8,8.3,3,76.9
S1112,Female,1.9,1.7,No,96.2,4.9,6,43.9
S1113,Male,3,2.5,No,83.1,5.5,4,51.3
S1114,Female,5.3,1.2,No,92.3,8.2,1,83.3
S1115,Female,3.7,1.2,No,88.5,7.7,9,82.7
S1116,Male,7,3.3,No,88.4,6.1,6,94.8
S1117,Male,4.1,1.1,No,82.3,7.5,8,80.8
S1118,Female,3.8,3.3,No,72.8,6.9,2,58.3
S1119,Female,3,3.1,Yes,73.8,8.3,7,66.3
S1120,Male,3.7,0.4,No,92.1,6.6,6,87.9
S1121,Male,3.3,1.7,No,85.2,7.7,2,60.5
S1122,Male,4.6,3.9,No,83.6,9.7,2,84.8
S1123,Female,4.9,1.3,No,80.8,7.2,4,77
S1124,Female,2.3,1.9,No,81.9,6.6,4,61.7
S1125,Male,1.5,3.1,No,95.5,7.4,3,44
S1126,Male,0.7,3.4,Yes,81.6,6.1,8,42.4
S1127,Female,4.3,2.2,No,71.6,9.4,7,88
S1128,Male,1.8,1.8,No,92.4,6.7,2,48.7
S1129,Male,0.3,4.2,No,83,6.2,3,26.8
S1130,Female,4.1,4.6,No,85.3,5.5,10,81.6
S1131,Female,7.2,3.7,No,100,7.8,9,100
S1132,Female,3.5,2.6,Yes,84.8,7.5,5,74
S1133,Female,4.8,1.5,No,87.9,5.9,2,78.4
S1134,Male,3.6,1.5,No,73.2,7.2,3,70.7
S1135,Male,3.4,3.1,No,82.8,4.7,8,74.3
S1136,Female,4.9,3,No,91.1,6.7,4,67.6
S1137,Male,3.1,4.2,No,69.4,7,2,64.7
S1138,Male,3.9,3.3,No,87,8.5,2,64.1
S1139,Male,4,0.7,No,86,5.6,6,83.5
S1140,Male,2.5,3.8,No,85.4,5,8,63.4
S1141,Male,5,1.3,No,95.4,5.4,7,96.2
S1142,Male,3.2,2,No,88.3,4.9,4,65.4
S1143,Male,2.4,2.8,No,99.8,8.1,2,62
S1144,Male,4.3,4.9,No,75.1,8.4,9,74
S1145,Female,2.2,6.2,No,86.4,6.9,4,46.7
S1146,Female,3.5,3.2,No,85.8,8,9,75.5
S1147,Female,3.5,2.3,No,74.3,6.7,5,78.1
S1148,Female,5.1,3.1,No,94.6,6.4,7,85.2
S1149,Female,4.2,3.6,Yes,100,6.1,5,75.4
S1150,Male,3.5,2.1,Yes,84.8,6.1,2,64.2
S1151,Female,4.7,4.7,No,90.1,4.6,6,69.7
S1152,Female,5.6,2.8,No,85.8,6.8,7,90.3
S1153,Female,4.3,3.1,No,77.9,6.5,6,81.4
S1154,Male,3.5,3.3,No,66.8,7.4,3,65
S1155,Male,1.5,3,No,77.9,6.6,10,57.3
S1156,Male,1.9,3.5,Yes,71.1,6.3,8,57.7
S1157,Male,3,1.8,No,100,5.5,3,56.7
S1158,Female,2.6,1.8,No,83.8,6.6,5,62.3
S1159,Female,3.2,1.2,No,81.5,7.4,9,77.9
S1160,Male,3.6,3,No,93.9,5.1,5,65.2
S1161,Other,4.3,3.4,No,73.8,6.6,7,76.8
S1162,Female,3.4,3,No,77.3,6.8,7,83.8
S1163,Male,4.2,4.5,No,85.7,5.6,5,70.6
S1164,Male,3.6,2.5,No,95.3,5.8,2,63.1
S1165,Male,0.5,3.3,No,90,6.8,5,39
S1166,Male,2.1,1.2,No,87.5,5.1,7,66.7
S1167,Male,3.3,2,Yes,85.8,6.9,7,72.2
S1168,Male,1.7,3.3,No,89,5.4,4,50.1
S1169,Male,4.4,3.5,Yes,87,7.8,1,62.4
S1170,Male,5.8,2.1,No,74.7,9.3,6,96.6
S1171,Female,5.3,2.4,No,85.5,5.5,3,85.8
S1172,Male,3.2,0.7,No,74.3,7.1,5,68.3
S1173,Female,5.7,2.1,No,85.8,5.6,4,83.8
S1174,Male,3.7,3.6,Yes,80.2,7.7,2,69.3
S1175,Other,3,3.2,No,100,5,7,65.3
S1176,Male,2.6,3.1,No,84.6,7.1,5,77.5
S1177,Male,3,2.6,No,71,5.5,7,55
S1178,Other,2.9,2.5,Yes,83.7,6.3,9,65.2
S1179,Female,3.8,1.7,No,90.2,5.3,4,58.1
S1180,Female,3.7,3.3,Yes,100,7.5,5,69.2
S1181,Male,3.5,3,Yes,79.1,5.5,9,67.4
S1182,Male,4.2,3.1,No,69.2,7.2,10,79.9
S1183,Female,5.3,1.9,No,93.2,6.1,4,85.7
S1184,Female,4.9,0,No,71.2,6.4,5,96.2
S1185,Female,1.3,3.8,Yes,80.6,6.7,5,40.4
S1186,Female,0,1.9,No,82.4,5.6,8,55.2
S1187,Male,4.9,1.5,No,84.3,6.8,4,73.8
S1188,Female,1.4,3.3,No,91.9,8.3,4,46.5
S1189,Male,3.2,2,No,78.2,5.6,7,60.5
S1190,Male,1.7,3.8,No,82.3,7.9,5,55.4
S1191,Male,0.8,3.2,No,84.9,8.3,6,45.1
S1192,Female,4.3,3.3,No,86.5,5.5,6,69.4
S1193,Male,4.6,0.9,No,86,4.8,6,81.3
S1194,Male,2.6,4,No,89.4,6.9,10,66.6
S1195,Female,0,2.8,No,93.4,5.8,5,26.7
S1196,Male,2.7,2.1,No,88.9,8.7,5,64.5
S1197,Female,4.1,2.7,No,89.5,6.5,9,87.1
S1198,Male,1.3,0.4,Yes,69.2,5.5,8,42.2
S1199,Female,3.8,3,No,85.5,5.1,4,61.6
S1200,Female,3.5,1.3,No,89.8,7.8,7,81.9
S1201,Male,4.4,0.9,No,92.3,5.8,8,96.5
S1202,Male,3.7,0.7,No,78.1,6.6,9,85.1
S1203,Male,2,3.8,No,78.4,7.6,5,58.5
S1204,Male,5.3,1.7,No,79.3,5.9,3,78.4
S1205,Other,3.3,4.3,No,90.4,6.4,4,56.4
S1206,Male,3.5,1.9,No,95.3,6.5,10,92.6
S1207,Female,2.1,0.5,No,80.9,7.3,6,62.3
S1208,Male,2.8,1.2,Yes,94.1,7.2,10,75.8
S1209,Female,2.2,4,No,86.2,6.2,5,47.1
S1210,Female,3.2,2.3,Yes,83.8,6.6,9,66.3
S1211,Female,6.1,1.8,No,82.9,6.1,3,98.3
S1212,Male,1.4,2.7,No,92.5,4.7,2,29.7
S1213,Male,1.1,3.1,No,88.3,6.8,6,45.5
S1214,Male,5.7,3.8,No,100,8.8,7,100
S1215,Female,3.2,4.2,No,76.5,5.4,5,67.5
S1216,Female,2.5,2.1,No,90.2,5.6,1,60.3
S1217,Other,5.1,0.9,No,79.7,5.5,3,87
S1218,Male,2.6,2,No,76.3,7.4,3,48.5
S1219,Female,6.2,2.8,No,84.9,7,4,100
S1220,Female,4.5,1.3,No,86.4,6.3,10,82.1
S1221,Male,2.8,1.4,No,100,5.4,6,63.7
S1222,Male,6.7,2.9,No,83.2,6.6,5,100
S1223,Female,2.6,2.4,No,73.7,4.6,1,41.9
S1224,Female,4.6,2.5,No,87.7,6.7,6,72.7
S1225,Female,3.9,1.6,No,64.3,7.5,9,74.3
S1226,Male,5.5,2.2,Yes,84.1,5,1,88.7
S1227,Female,5.8,1.4,No,85.2,4.7,8,96.6
S1228,Male,3.5,3.6,No,92.9,8.4,8,72.6
S1229,Male,2.4,3.7,No,94.7,5.8,3,52.4
S1230,Male,4.2,0.3,No,80,7.9,9,100
S1231,Female,2.5,1.4,No,83.5,6.3,8,73.1
S1232,Female,6.5,0.7,No,77.3,6.3,3,100
S1233,Female,3.7,1.7,No,73.7,7,10,80.8
S1234,Male,3,2.4,No,88.1,5.4,5,62.9
S1235,Female,3.8,0.8,No,72.3,6.7,3,71.5
S1236,Male,1.5,1.4,No,80.9,6,5,46.2
S1237,Female,2,1.3,Yes,75,4.9,9,53.8
S1238,Male,5.3,2.7,No,90.5,6.9,4,74.2
S1239,Male,2.5,2.6,No,100,6.2,6,52.5
S1240,Male,1.9,1.6,No,72,6.3,3,51.2
S1241,Male,4.3,2.7,Yes,66.5,5,3,60.6
S1242,Female,5.3,1.8,No,83.8,8.4,5,91.5
S1243,Female,4.6,2.2,No,85.2,7.6,8,87.3
S1244,Male,5,4.5,No,87.2,7.7,8,98
S1245,Female,2.4,4.1,No,80.5,6.1,3,47.9
S1246,Male,1.4,0.9,Yes,83,4.4,8,51
S1247,Female,5.8,3.5,No,88.7,8.8,8,90
S1248,Female,3,3.5,No,95.4,6.4,3,54.1
S1249,Female,3.1,1.1,No,65.4,5.6,10,58.4
S1250,Male,5.5,3.5,Yes,81.3,7,10,100
S1251,Female,4.3,4.3,No,87.1,7.9,2,65.2
S1252,Female,4.2,1.2,No,75.8,6.5,10,85.3
S1253,Male,6.7,1.4,No,100,8,2,93.8
S1254,Male,2.5,3.7,Yes,78.6,7.8,9,78.8
S1255,Female,4.9,2.8,No,84.6,5.2,7,85
S1256,Female,3.6,3.2,No,90.6,5.7,6,64.5
S1257,Female,3.9,2.9,No,79.1,7.6,7,71
S1258,Female,5.8,3,No,66.5,3.2,8,90.8
S1259,Female,4.3,0.9,No,80.7,6.3,1,72.6
S1260,Male,4.3,3.8,No,95.3,4.8,8,70.9
S1261,Male,5.1,3.9,Yes,81.6,5.9,3,65.1
S1262,Male,3,2.2,No,76.5,6.1,3,49.1
S1263,Female,2.2,2.4,Yes,94.3,6.1,6,62.7
S1264,Male,1.9,0.7,No,81.7,5.8,4,51.5
S1265,Female,0.6,3.1,No,79.9,5.2,4,18.4
S1266,Female,6.6,3.2,No,86.5,9.3,4,100
S1267,Female,1.8,2.4,Yes,92.7,8.7,10,53.3
S1268,Male,3.2,3.8,No,100,5.1,9,76.1
S1269,Female,3.1,2.1,No,93.3,8.4,8,85.6
S1270,Male,4,3.2,Yes,96.6,6,3,63
S1271,Female,4.7,1.3,Yes,79.9,6.7,1,73.6
S1272,Male,4.8,2.5,Yes,74.7,6.4,1,76.2
S1273,Male,2.6,2.3,No,85.6,5.7,1,45.5
S1274,Female,3.2,2.8,No,86.1,7.7,4,58.6
S1275,Male,3.9,2.1,No,74.2,6.7,6,77.8
S1276,Male,3.1,2.3,Yes,83.2,5.9,4,61.5
S1277,Female,5.9,3.5,No,89,4.9,3,71.4
S1278,Female,4.2,2,No,88.6,5.4,8,93.9
S1279,Female,4.6,0.6,No,90,4.5,8,85.9
S1280,Female,4.5,4.6,No,87.9,6.5,6,73.8
S1281,Female,5.3,4.2,Yes,79.9,5.1,9,83.3
S1282,Male,3.8,0.9,Yes,79.9,6.2,10,79.7
S1283,Male,1.6,3.3,Yes,73,8.1,1,47.1
S1284,Male,4.1,1.9,No,100,7.9,8,91.9
S1285,Female,2.5,2.8,Yes,85.1,6.5,6,60.6
S1286,Female,2.7,2.9,No,82.8,6.4,1,46.6
S1287,Male,4.4,2.2,No,75.7,8.8,4,84.2
S1288,Male,5.4,1.6,No,100,7.1,5,95.5
S1289,Female,3.5,1.7,No,74.3,6.1,7,73.5
S1290,Male,4,1.4,No,80.7,4.8,8,75.9
S1291,Female,6.1,1.5,No,89.2,7,9,100
S1292,Female,3.9,2.4,Yes,91,7.5,6,74.2
S1293,Female,7.4,1.6,No,94.6,5.7,10,100
S1294,Male,4.3,3.3,No,100,6.8,9,94.9
S1295,Female,0.9,4.3,No,90.1,6.1,4,27.6
S1296,Female,4.6,1.8,No,74.4,6.3,8,86.2
S1297,Female,4.1,2.8,No,82.4,3.5,3,60.1
S1298,Female,5.4,3.1,No,88.1,6.2,4,91.3
S1299,Female,4.5,3.1,No,100,7.7,10,93.8
S1300,Female,3.3,2.6,No,71,5.7,4,61.6
S1301,Male,1.7,3.4,Yes,97,6.6,6,41.7
S1302,Female,3.2,3.1,No,86.8,5.6,9,74.5
S1303,Female,2.2,1,No,93.4,6.9,6,63.7
S1304,Male,2.6,3.5,No,84,6.2,1,39.6
S1305,Female,4.4,3.6,No,76.6,5.4,5,87.5
S1306,Female,6,1.6,No,92.5,8.1,9,100
S1307,Female,4.1,2.5,Yes,91.5,7.6,5,75.4
S1308,Male,1.7,3.3,No,94.7,5.8,6,61.5
S1309,Male,4.2,2.2,No,84.9,7.1,3,73.3
S1310,Other,5.3,3.8,No,79,7.1,8,96.3
S1311,Female,2.6,5.3,Yes,69.4,7.3,10,67
S1312,Male,3.3,1.6,No,93.2,4.5,4,70.1
S1313,Female,3.5,0.8,No,89.2,7.7,4,84.2
S1314,Female,2.3,2.9,No,75.3,5.8,5,48.9
S1315,Female,4.5,3.4,No,79.6,6.1,10,98.8
S1316,Female,3.3,2.2,Yes,80.3,9.7,9,76.1
S1317,Male,4.1,4.2,No,70.2,6.9,8,80.4
S1318,Male,2.2,0.9,No,76.8,6,7,64.1
S1319,Male,2.8,3.3,No,73.7,3.9,5,59.4
S1320,Female,4.6,1.8,No,80.9,8.2,9,94.2
S1321,Male,2.9,4.6,Yes,77.6,4.9,9,67.8
S1322,Male,6.1,4.9,No,68.7,5.3,10,96.1
S1323,Male,2.9,1.6,No,100,6.1,10,70.2
S1324,Female,3.8,1.8,No,97.5,8.2,2,84.2
S1325,Female,4.9,3.5,No,77.2,7.4,4,75.4
S1326,Male,1.4,2,No,87.7,6.3,8,41.7
S1327,Male,0.9,2.4,No,89.2,6.9,1,23.1
S1328,Female,1.2,2.5,Yes,96.9,5.8,5,50.3
S1329,Male,5.4,0.2,No,76.8,6.7,8,100
S1330,Male,2.7,2.5,No,95.9,6.6,2,52.2
S1331,Male,7.3,1.7,No,79.5,7.7,2,100
S1332,Male,2.7,1.9,No,71.6,7.7,8,71.2
S1333,Male,3.8,4.2,No,92.2,7.1,10,72.3
S1334,Female,5.8,1,No,97.9,6.1,9,100
S1335,Male,6.5,3.5,No,100,7.4,7,100
S1336,Female,6.6,2.2,No,73,6.4,8,100
S1337,Male,5.3,2.2,No,92,5.2,5,93.1
S1338,Female,5,3.4,Yes,80.9,6,1,67.7
S1339,Female,4.4,2.9,No,92.8,6.6,4,77.9
S1340,Male,4.7,3.2,Yes,70.3,7.6,2,80.3
S1341,Female,2.7,3.7,No,72.4,6.3,3,44.3
S1342,Male,2.3,2.1,No,77.2,5,3,54.7
S1343,Other,3.5,1.8,No,85.8,6.6,9,85
S1344,Male,3.2,1.2,No,78.6,6.6,10,81.7
S1345,Male,2.8,1.5,No,91.6,6.7,4,71.6
S1346,Male,4.5,6,Yes,95.3,7.6,2,73.7
S1347,Other,4.9,4,No,91,7.7,3,77
S1348,Female,3.6,0.9,No,100,5.8,3,72.3
S1349,Female,5.7,0.9,No,89.2,5.8,7,100
S1350,Male,1.8,3.1,No,72.8,5.3,8,54
S1351,Female,3.2,3.2,No,98.6,7.3,6,70.4
S1352,Male,2.4,3.2,No,78.9,8.2,4,47
S1353,Female,0.7,2.2,No,94.1,6.1,6,48.7
S1354,Male,3.4,2.3,No,100,6.2,1,47.6
S1355,Male,3.3,2.9,Yes,89.6,8.3,10,81.1
S1356,Male,5.8,2.6,Yes,70,7.1,8,100
S1357,Male,4.4,0,No,75.8,7,1,81.9
S1358,Female,2,2.2,No,98.2,5.1,5,56.3
S1359,Male,6.3,1.5,No,83.3,7.3,2,100
S1360,Female,5.3,2.7,Yes,85.8,5.4,6,81
S1361,Male,4.4,6.1,No,92.6,5.1,9,84.9
S1362,Female,3.2,2.9,No,92,6.1,5,67.9
S1363,Male,2.1,2.1,No,87.8,5.8,4,56.9
S1364,Male,2.9,3.6,No,82.9,6.2,2,45.9
S1365,Female,5.1,3.1,Yes,81.9,4.8,3,76
S1366,Male,6.3,3,No,93.6,7.7,6,94.8
S1367,Male,5.8,3.2,No,90.5,7.9,8,99.3
S1368,Female,2.8,5,Yes,82.4,4.2,8,71
S1369,Female,1.8,1.1,Yes,95.8,7.7,5,70.9
S1370,Male,3.7,3.1,Yes,83.7,5.5,5,59.8
